name,start_date,end_date,kind,half_day
Yılbaşı,2020-01-01,2020-01-01,official,
Ulusal Egemenlik ve Çocuk Bayramı,2020-04-23,2020-04-23,official,
Emek ve Dayanışma Günü,2020-05-01,2020-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2020-05-19,2020-05-19,official,
Demokrasi ve Milli Birlik Günü,2020-07-15,2020-07-15,official,
Zafer Bayramı,2020-08-30,2020-08-30,official,
Cumhuriyet Bayramı (yarım gün),2020-10-28,2020-10-28,official,pm
Cumhuriyet Bayramı,2020-10-29,2020-10-29,official,
Ramazan Bayramı,2020-05-24,2020-05-26,religious,
Kurban Bayramı,2020-07-31,2020-08-03,religious,
Yılbaşı,2021-01-01,2021-01-01,official,
Ulusal Egemenlik ve Çocuk Bayramı,2021-04-23,2021-04-23,official,
Emek ve Dayanışma Günü,2021-05-01,2021-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2021-05-19,2021-05-19,official,
Demokrasi ve Milli Birlik Günü,2021-07-15,2021-07-15,official,
Zafer Bayramı,2021-08-30,2021-08-30,official,
Cumhuriyet Bayramı (yarım gün),2021-10-28,2021-10-28,official,pm
Cumhuriyet Bayramı,2021-10-29,2021-10-29,official,
Ramazan Bayramı,2021-05-13,2021-05-15,religious,
Kurban Bayramı,2021-07-20,2021-07-23,religious,
Yılbaşı,2022-01-01,2022-01-01,official,
Ulusal Egemenlik ve Çocuk Bayramı,2022-04-23,2022-04-23,official,
Emek ve Dayanışma Günü,2022-05-01,2022-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2022-05-19,2022-05-19,official,
Demokrasi ve Milli Birlik Günü,2022-07-15,2022-07-15,official,
Zafer Bayramı,2022-08-30,2022-08-30,official,
Cumhuriyet Bayramı (yarım gün),2022-10-28,2022-10-28,official,pm
Cumhuriyet Bayramı,2022-10-29,2022-10-29,official,
Ramazan Bayramı,2022-05-02,2022-05-04,religious,
Kurban Bayramı,2022-07-09,2022-07-12,religious,
Yılbaşı,2023-01-01,2023-01-01,official,
Ulusal Egemenlik ve Çocuk Bayramı,2023-04-23,2023-04-23,official,
Emek ve Dayanışma Günü,2023-05-01,2023-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2023-05-19,2023-05-19,official,
Demokrasi ve Milli Birlik Günü,2023-07-15,2023-07-15,official,
Zafer Bayramı,2023-08-30,2023-08-30,official,
Cumhuriyet Bayramı (yarım gün),2023-10-28,2023-10-28,official,pm
Cumhuriyet Bayramı,2023-10-29,2023-10-29,official,
Ramazan Bayramı,2023-04-21,2023-04-23,religious,
Kurban Bayramı,2023-06-28,2023-07-01,religious,
Yılbaşı,2024-01-01,2024-01-01,official,
Ulusal Egemenlik ve Çocuk Bayramı,2024-04-23,2024-04-23,official,
Emek ve Dayanışma Günü,2024-05-01,2024-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2024-05-19,2024-05-19,official,
Demokrasi ve Milli Birlik Günü,2024-07-15,2024-07-15,official,
Zafer Bayramı,2024-08-30,2024-08-30,official,
Cumhuriyet Bayramı (yarım gün),2024-10-28,2024-10-28,official,pm
Cumhuriyet Bayramı,2024-10-29,2024-10-29,official,
Ramazan Bayramı,2024-04-10,2024-04-12,religious,
Kurban Bayramı,2024-06-16,2024-06-19,religious,
Yılbaşı,2025-01-01,2025-01-01,official,
Ramazan Bayramı,2025-03-30,2025-04-01,religious,
Ulusal Egemenlik ve Çocuk Bayramı,2025-04-23,2025-04-23,official,
Emek ve Dayanışma Günü,2025-05-01,2025-05-01,official,
"Atatürk’ü Anma, Gençlik ve Spor Bayramı",2025-05-19,2025-05-19,official,
Kurban Bayramı,2025-06-06,2025-06-09,religious,
Demokrasi ve Milli Birlik Günü,2025-07-15,2025-07-15,official,
Zafer Bayramı,2025-08-30,2025-08-30,official,
Cumhuriyet Bayramı (yarım gün),2025-10-28,2025-10-28,official,pm
Cumhuriyet Bayramı,2025-10-29,2025-10-29,official,
