feature_selection,MASE_mean,MASE_std,MASE_min,sMAPE_mean,sMAPE_std,sMAPE_min,config_count
all,0.2273,0.0095,0.2146,1.0615,0.0418,1.0024,4
demand_focused,0.2339,0.0101,0.2268,1.0975,0.0639,1.0523,2
price_focused,0.2223,0.0079,0.2167,1.0369,0.0483,1.0027,2
prophet_extended,6.831,,6.831,28.1794,,28.1794,1
prophet_minimal,1.0673,,1.0673,5.387,,5.387,1
prophet_price,5.3469,,5.3469,22.8493,,22.8493,1
prophet_standard,4.3427,,4.3427,19.0306,,19.0306,1
prophet_weather,4.2563,,4.2563,18.6962,,18.6962,1
top_50,0.2413,0.0051,0.2377,1.1428,0.0249,1.1252,2
