model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
lightgbm,lightgbm_light,,all,70.29453927538891,91.49654118391243,189.212642946439,15.907736642200845,0.4454758593542277,0.3567039966583252
catboost,catboost_deep,,all,78.29953905215244,105.198523640485,294.19419012197244,17.052574835864306,0.4962057480688216,1.1406269073486328
catboost,catboost_demand_optimized,,all,83.44526309728533,106.40878020996159,236.99264375254455,17.94144711587059,0.5288156188302601,0.4828910827636719
catboost,catboost_balanced,,all,83.55807022695282,106.48650596643873,236.60275684200965,17.959872024202756,0.5295305086858295,0.4340810775756836
catboost,catboost_price_optimized,,all,84.91380278850392,108.5484445762104,240.3710276639636,18.07537085753331,0.538122159390665,0.7224578857421875
lightgbm,lightgbm_price_optimized,,all,85.34593116646477,101.09896445075545,188.64883602818892,17.800632918629848,0.5408606759597729,0.8463091850280762
lightgbm,lightgbm_balanced,,all,85.98626825244388,101.92112944235318,187.2057057654705,17.867287864369178,0.5449186684666361,0.6537988185882568
lightgbm,lightgbm_deep,,all,86.23580855032336,101.8014835323405,183.55942210700175,17.936805837950505,0.5465000740749134,1.245124101638794
catboost,catboost_light,,all,90.04227404023433,111.74506311772322,242.89796850177981,18.828363647281932,0.5706226944477023,0.28487300872802734
lightgbm,lightgbm_demand_optimized,,all,94.52657137232251,109.08511783248615,160.21423256137427,19.382903860009375,0.5990409219260244,0.7316861152648926
prophet,prophet_light,,all,108.34709532382509,133.9359113433919,269.28092511285746,21.892021760209897,0.6866253893325396,32.582438707351685
prophet,prophet_price_optimized,,all,260.00204528554764,287.4745005750671,145.0046656124008,36.2854766085779,1.647704583476628,26.01316213607788
prophet,prophet_balanced,,all,260.4936637094373,288.0347927006281,145.4398043439276,36.3311159085371,1.6508201048544502,30.579624891281128
prophet,prophet_flexible,,all,260.84871507825903,288.4105866241243,144.9354272625459,36.36745175502337,1.653070163184317,27.017505168914795
prophet,prophet_demand_optimized,,all,261.3841650703219,289.11228345075546,145.74875813565225,36.40022275606093,1.6564634572838906,25.599365234375
